,0
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,0
11,1
12,2
13,3
14,4
15,5
16,6
17,7
18,8
19,9
20,0
21,1
22,2
23,3
24,4
25,5
26,6
27,7
28,8
29,9
30,0
31,9
32,5
33,5
34,6
35,5
36,0
37,9
38,8
39,9
40,8
41,4
42,1
43,7
44,7
45,3
46,5
47,1
48,0
49,0
50,2
51,2
52,7
53,8
54,2
55,0
56,1
57,2
58,6
59,3
60,3
61,7
62,3
63,3
64,4
65,6
66,6
67,6
68,4
69,9
70,1
71,5
72,0
73,9
74,5
75,2
76,8
77,2
78,0
79,0
80,1
81,7
82,6
83,3
84,2
85,1
86,7
87,4
88,6
89,3
90,1
91,3
92,9
93,1
94,7
95,6
96,8
97,4
98,3
99,1
100,4
101,0
102,5
103,3
104,6
105,9
106,6
107,1
108,7
109,5
110,4
111,4
112,7
113,2
114,8
115,2
116,2
117,5
118,7
119,9
120,5
121,4
122,8
123,8
124,4
125,9
126,0
127,8
128,9
129,8
130,0
131,1
132,2
133,3
134,4
135,5
136,6
137,7
138,8
139,9
140,0
141,1
142,2
143,3
144,4
145,5
146,6
147,7
148,8
149,9
150,0
151,1
152,2
153,3
154,4
155,5
156,6
157,7
158,8
159,9
160,0
161,9
162,5
163,5
164,6
165,5
166,0
167,9
168,8
169,9
170,8
171,4
172,1
173,7
174,7
175,3
176,5
177,1
178,0
179,0
180,2
181,2
182,7
183,8
184,2
185,0
186,1
187,2
188,6
189,3
190,3
191,7
192,3
193,3
194,4
195,6
196,6
197,6
198,4
199,9
200,1
201,5
202,0
203,9
204,5
205,2
206,8
207,2
208,0
209,0
210,1
211,7
212,6
213,3
214,2
215,1
216,7
217,3
218,1
219,3
220,9
221,1
222,7
223,6
224,8
225,4
226,3
227,1
228,4
229,0
230,5
231,3
232,6
233,9
234,6
235,1
236,7
237,5
238,4
239,4
240,7
241,2
242,8
243,2
244,2
245,5
246,5
247,4
248,8
249,8
