algorithm,optimal_result,iterations,time,trial
rhc,5.0,10,0.00600004196167,0
sa,7.0,10,0.0,0
ga,72.0,10,0.0199999809265,0
mimic,79.0,10,0.197000026703,0
rhc,8.0,30,0.0,0
sa,6.0,30,0.0,0
ga,77.0,30,0.0130000114441,0
mimic,90.0,30,0.197999954224,0
rhc,76.0,50,0.000999927520752,0
sa,6.0,50,0.00100016593933,0
ga,84.0,50,0.0260000228882,0
mimic,89.0,50,0.285000085831,0
rhc,11.0,70,0.000999927520752,0
sa,6.0,70,0.0,0
ga,78.0,70,0.0130000114441,0
mimic,80.0,70,0.343999862671,0
rhc,12.0,100,0.0,0
sa,8.0,100,0.0,0
ga,88.0,100,0.0149998664856,0
mimic,90.0,100,0.376999855042,0
rhc,16.0,150,0.00100016593933,0
sa,6.0,150,0.0,0
ga,81.0,150,0.0160000324249,0
mimic,90.0,150,0.464999914169,0
rhc,74.0,180,0.0,0
sa,4.0,180,0.000999927520752,0
ga,71.0,180,0.0199999809265,0
mimic,95.0,180,0.642000198364,0
rhc,78.0,200,0.0,0
sa,7.0,200,0.000999927520752,0
ga,88.0,200,0.0169999599457,0
mimic,92.0,200,0.59500002861,0
rhc,72.0,230,0.0,0
sa,7.0,230,0.000999927520752,0
ga,80.0,230,0.0230000019073,0
mimic,102.0,230,0.818000078201,0
rhc,75.0,250,0.0,0
sa,10.0,250,0.0,0
ga,79.0,250,0.0279998779297,0
mimic,99.0,250,0.718999862671,0
rhc,72.0,270,0.000999927520752,0
sa,4.0,270,0.0,0
ga,84.0,270,0.0279998779297,0
mimic,106.0,270,0.760999917984,0
rhc,71.0,300,0.00100016593933,0
sa,5.0,300,0.000999927520752,0
ga,74.0,300,0.0299999713898,0
mimic,93.0,300,0.838999986649,0
rhc,70.0,330,0.0,0
sa,6.0,330,0.0,0
ga,78.0,330,0.055999994278,0
mimic,89.0,330,1.02200007439,0
rhc,24.0,350,0.0,0
sa,7.0,350,0.0,0
ga,75.0,350,0.039999961853,0
mimic,89.0,350,1.02900004387,0
rhc,32.0,370,0.0,0
sa,5.0,370,0.000999927520752,0
ga,76.0,370,0.0370001792908,0
mimic,91.0,370,1.0759999752,0
rhc,74.0,400,0.00100016593933,0
sa,68.0,400,0.0019998550415,0
ga,77.0,400,0.0420000553131,0
mimic,93.0,400,1.19900012016,0
rhc,85.0,430,0.0,0
sa,8.0,430,0.000999927520752,0
ga,85.0,430,0.0410001277924,0
mimic,106.0,430,1.20700001717,0
rhc,85.0,450,0.0,0
sa,6.0,450,0.0,0
ga,85.0,450,0.0429999828339,0
mimic,92.0,450,1.31200003624,0
rhc,71.0,470,0.000999927520752,0
sa,67.0,470,0.0,0
ga,87.0,470,0.0440001487732,0
mimic,107.0,470,1.33399987221,0
rhc,21.0,500,0.00100016593933,0
sa,5.0,500,0.0,0
ga,78.0,500,0.0629999637604,0
mimic,90.0,500,1.54500007629,0
rhc,9.0,10,0.000999927520752,1
sa,5.0,10,0.0,1
ga,73.0,10,0.00200009346008,1
mimic,75.0,10,0.0460000038147,1
rhc,5.0,30,0.0,1
sa,5.0,30,0.0,1
ga,80.0,30,0.00399994850159,1
mimic,84.0,30,0.106000185013,1
rhc,7.0,50,0.0,1
sa,7.0,50,0.0,1
ga,75.0,50,0.00600004196167,1
mimic,81.0,50,0.163000106812,1
rhc,9.0,70,0.000999927520752,1
sa,6.0,70,0.000999927520752,1
ga,80.0,70,0.00800013542175,1
mimic,82.0,70,0.228999853134,1
rhc,11.0,100,0.00100016593933,1
sa,7.0,100,0.0,1
ga,75.0,100,0.0120000839233,1
mimic,85.0,100,0.311999797821,1
rhc,19.0,150,0.00100016593933,1
sa,5.0,150,0.0,1
ga,90.0,150,0.0169999599457,1
mimic,89.0,150,0.423000097275,1
rhc,10.0,180,0.000999927520752,1
sa,5.0,180,0.0,1
ga,76.0,180,0.018000125885,1
mimic,86.0,180,0.563999891281,1
rhc,10.0,200,0.0,1
sa,6.0,200,0.0,1
ga,90.0,200,0.0199999809265,1
mimic,96.0,200,0.674000024796,1
rhc,9.0,230,0.0,1
sa,7.0,230,0.000999927520752,1
ga,78.0,230,0.0190000534058,1
mimic,87.0,230,0.661000013351,1
rhc,75.0,250,0.000999927520752,1
sa,5.0,250,0.0,1
ga,81.0,250,0.0260000228882,1
mimic,84.0,250,0.698999881744,1
rhc,70.0,270,0.0,1
sa,5.0,270,0.0,1
ga,94.0,270,0.0250000953674,1
mimic,90.0,270,0.739000082016,1
rhc,71.0,300,0.000999927520752,1
sa,8.0,300,0.0,1
ga,80.0,300,0.0260000228882,1
mimic,97.0,300,0.807000160217,1
rhc,17.0,330,0.000999927520752,1
sa,7.0,330,0.0,1
ga,79.0,330,0.0339999198914,1
mimic,82.0,330,0.93799996376,1
rhc,82.0,350,0.0,1
sa,8.0,350,0.0,1
ga,80.0,350,0.0349998474121,1
mimic,104.0,350,1.00699996948,1
rhc,72.0,370,0.0,1
sa,6.0,370,0.000999927520752,1
ga,85.0,370,0.0350000858307,1
mimic,108.0,370,1.007999897,1
rhc,68.0,400,0.00100016593933,1
sa,4.0,400,0.0,1
ga,91.0,400,0.0360000133514,1
mimic,107.0,400,1.02199983597,1
rhc,27.0,430,0.0,1
sa,6.0,430,0.00100016593933,1
ga,89.0,430,0.0369999408722,1
mimic,97.0,430,1.08100008965,1
rhc,14.0,450,0.000999927520752,1
sa,70.0,450,0.00100016593933,1
ga,79.0,450,0.0419998168945,1
mimic,97.0,450,1.18300008774,1
rhc,20.0,470,0.0,1
sa,68.0,470,0.0,1
ga,81.0,470,0.0460000038147,1
mimic,109.0,470,1.11599993706,1
rhc,81.0,500,0.000999927520752,1
sa,71.0,500,0.0,1
ga,96.0,500,0.0420000553131,1
mimic,96.0,500,1.15299987793,1
rhc,6.0,10,0.0,2
sa,5.0,10,0.0,2
ga,77.0,10,0.00200009346008,2
mimic,78.0,10,0.0379998683929,2
rhc,6.0,30,0.00100016593933,2
sa,6.0,30,0.0,2
ga,77.0,30,0.00399994850159,2
mimic,85.0,30,0.0989999771118,2
rhc,8.0,50,0.00100016593933,2
sa,5.0,50,0.0,2
ga,75.0,50,0.00499987602234,2
mimic,93.0,50,0.15099978447,2
