algorithm,optimal_result,iterations,time,trial
rhc,6.0,10,0.00399994850159,0
sa,8.0,10,0.0,0
ga,75.0,10,0.0110001564026,0
mimic,80.0,10,0.0909998416901,0
rhc,40.0,1000,0.0,0
sa,87.0,1000,0.00100016593933,0
ga,98.0,1000,0.114999771118,0
mimic,108.0,1000,1.86200022697,0
rhc,60.0,5000,0.000999927520752,0
sa,113.0,5000,0.00300002098083,0
ga,111.0,5000,0.334000110626,0
mimic,110.0,5000,8.67900013924,0
rhc,60.0,200000,0.0349998474121,0
sa,113.0,200000,0.139000177383,0
ga,112.0,200000,11.7230000496,0
mimic,113.0,200000,332.190999985,0
rhc,10.0,10,0.0,1
sa,5.0,10,0.00100016593933,1
ga,75.0,10,0.000999927520752,1
mimic,83.0,10,0.0300002098083,1
rhc,87.0,1000,0.0,1
sa,75.0,1000,0.000999927520752,1
ga,87.0,1000,0.069000005722,1
mimic,112.0,1000,1.69000005722,1
rhc,60.0,5000,0.00200009346008,1
sa,113.0,5000,0.00200009346008,1
ga,113.0,5000,0.313999891281,1
mimic,113.0,5000,8.74899983406,1
rhc,101.0,200000,0.0329999923706,1
sa,113.0,200000,0.137000083923,1
ga,113.0,200000,11.9600000381,1
mimic,113.0,200000,359.727999926,1
