algorithm,optimal_result,iterations,time,trial
rhc,104.0,10,0.00500011444092,0
sa,102.0,10,0.000999927520752,0
ga,108.0,10,0.0090000629425,0
mimic,142.0,10,0.467000007629,0
rhc,115.0,30,0.0,0
sa,106.0,30,0.000999927520752,0
ga,115.0,30,0.00300002098083,0
mimic,164.0,30,0.530999898911,0
rhc,117.0,50,0.000999927520752,0
sa,100.0,50,0.0,0
ga,115.0,50,0.00499987602234,0
mimic,171.0,50,0.763000011444,0
rhc,115.0,70,0.00100016593933,0
sa,95.0,70,0.000999927520752,0
ga,113.0,70,0.00300002098083,0
mimic,179.0,70,1.02400016785,0
rhc,118.0,100,0.000999927520752,0
sa,101.0,100,0.00100016593933,0
ga,110.0,100,0.00600004196167,0
mimic,188.0,100,1.40600013733,0
rhc,131.0,150,0.000999927520752,0
sa,101.0,150,0.00100016593933,0
ga,100.0,150,0.00699996948242,0
mimic,195.0,150,2.08100008965,0
rhc,135.0,180,0.0,0
sa,109.0,180,0.000999927520752,0
ga,114.0,180,0.00399994850159,0
mimic,195.0,180,2.38599991798,0
rhc,131.0,200,0.0,0
sa,123.0,200,0.00100016593933,0
ga,102.0,200,0.00499987602234,0
mimic,195.0,200,2.40700006485,0
rhc,132.0,230,0.0,0
sa,130.0,230,0.000999927520752,0
ga,105.0,230,0.00399994850159,0
mimic,194.0,230,2.91299986839,0
rhc,140.0,250,0.00100016593933,0
sa,127.0,250,0.000999927520752,0
ga,106.0,250,0.00699996948242,0
mimic,197.0,250,4.59899997711,0
rhc,148.0,270,0.000999927520752,0
sa,141.0,270,0.00100016593933,0
ga,109.0,270,0.00699996948242,0
mimic,198.0,270,4.15200018883,0
rhc,154.0,300,0.000999927520752,0
sa,148.0,300,0.000999927520752,0
ga,111.0,300,0.0169999599457,0
mimic,199.0,300,4.30599999428,0
rhc,145.0,330,0.000999927520752,0
sa,140.0,330,0.00100016593933,0
ga,109.0,330,0.00699996948242,0
mimic,199.0,330,4.74799990654,0
rhc,165.0,350,0.0,0
sa,146.0,350,0.0,0
ga,102.0,350,0.00899982452393,0
mimic,200.0,350,4.86199998856,0
rhc,165.0,370,0.000999927520752,0
sa,154.0,370,0.000999927520752,0
ga,95.0,370,0.0090000629425,0
mimic,199.0,370,4.53800010681,0
rhc,161.0,400,0.0019998550415,0
sa,159.0,400,0.00200009346008,0
ga,113.0,400,0.00999999046326,0
mimic,198.0,400,5.0600001812,0
rhc,160.0,430,0.000999927520752,0
sa,152.0,430,0.00100016593933,0
ga,120.0,430,0.00799989700317,0
mimic,199.0,430,5.39700007439,0
rhc,162.0,450,0.0,0
sa,155.0,450,0.0,0
ga,109.0,450,0.00799989700317,0
mimic,200.0,450,5.59800004959,0
rhc,181.0,470,0.00100016593933,0
sa,159.0,470,0.000999927520752,0
ga,126.0,470,0.00999999046326,0
mimic,200.0,470,5.96799993515,0
rhc,168.0,500,0.0,0
