algorithm,optimal_result,iterations,time,trial
rhc,35.0,10,0.00699996948242,0
sa,40.0,10,0.00100016593933,0
ga,44.0,10,0.00699996948242,0
mimic,60.0,10,0.12700009346,0
rhc,57.0,100,0.00100016593933,0
sa,49.0,100,0.000999927520752,0
ga,47.0,100,0.0090000629425,0
mimic,77.0,100,0.391000032425,0
rhc,77.0,300,0.00100016593933,0
sa,75.0,300,0.000999927520752,0
ga,52.0,300,0.0130000114441,0
mimic,80.0,300,0.640000104904,0
rhc,77.0,500,0.00200009346008,0
sa,78.0,500,0.0,0
ga,56.0,500,0.00699996948242,0
mimic,78.0,500,1.1850001812,0
rhc,80.0,1000,0.000999927520752,0
sa,79.0,1000,0.0,0
ga,50.0,1000,0.0120000839233,0
mimic,80.0,1000,2.15900015831,0
rhc,80.0,1500,0.000999927520752,0
sa,80.0,1500,0.00100016593933,0
ga,51.0,1500,0.0179998874664,0
mimic,80.0,1500,3.02699995041,0
rhc,80.0,2000,0.00200009346008,0
sa,80.0,2000,0.00300002098083,0
ga,42.0,2000,0.0709998607635,0
mimic,80.0,2000,4.08200001717,0
rhc,80.0,2500,0.000999927520752,0
sa,80.0,2500,0.000999927520752,0
ga,44.0,2500,0.021999835968,0
mimic,80.0,2500,6.53700017929,0
rhc,80.0,3000,0.000999927520752,0
sa,80.0,3000,0.00300002098083,0
ga,47.0,3000,0.0329999923706,0
mimic,80.0,3000,7.35299992561,0
rhc,80.0,3500,0.000999927520752,0
sa,80.0,3500,0.000999927520752,0
ga,46.0,3500,0.0369999408722,0
mimic,80.0,3500,9.73000001907,0
rhc,80.0,4000,0.000999927520752,0
sa,80.0,4000,0.0019998550415,0
ga,55.0,4000,0.0490000247955,0
mimic,80.0,4000,10.882999897,0
rhc,80.0,4500,0.00200009346008,0
sa,80.0,4500,0.00300002098083,0
ga,52.0,4500,0.050999879837,0
mimic,80.0,4500,11.3350000381,0
rhc,80.0,5000,0.000999927520752,0
sa,80.0,5000,0.00300002098083,0
ga,42.0,5000,0.0460000038147,0
mimic,80.0,5000,12.4539999962,0
rhc,37.0,10,0.0,1
sa,38.0,10,0.0,1
ga,50.0,10,0.0,1
mimic,65.0,10,0.0310001373291,1
rhc,60.0,100,0.0,1
sa,44.0,100,0.0,1
ga,51.0,100,0.000999927520752,1
mimic,78.0,100,0.240000009537,1
rhc,74.0,300,0.000999927520752,1
sa,65.0,300,0.00100016593933,1
ga,44.0,300,0.00399994850159,1
mimic,79.0,300,0.686000108719,1
rhc,78.0,500,0.0,1
sa,76.0,500,0.000999927520752,1
ga,45.0,500,0.00500011444092,1
mimic,80.0,500,1.16299986839,1
rhc,80.0,1000,0.00100016593933,1
