algorithm,optimal_result,iterations,time,trial
rhc,9.0,10,0.00600004196167,0
sa,5.0,10,0.0,0
ga,31.0,10,0.0140001773834,0
mimic,29.0,10,0.0409998893738,0
rhc,2.0,30,0.0,0
sa,8.0,30,0.000999927520752,0
ga,34.0,30,0.00499987602234,0
mimic,33.0,30,0.0490000247955,0
rhc,3.0,50,0.000999927520752,0
sa,2.0,50,0.0,0
ga,33.0,50,0.00699996948242,0
mimic,31.0,50,0.0550000667572,0
rhc,5.0,70,0.0,0
sa,4.0,70,0.0,0
ga,35.0,70,0.010999917984,0
mimic,33.0,70,0.0750000476837,0
rhc,3.0,100,0.000999927520752,0
sa,2.0,100,0.0,0
ga,35.0,100,0.0130000114441,0
mimic,31.0,100,0.0830001831055,0
rhc,12.0,150,0.000999927520752,0
sa,1.0,150,0.000999927520752,0
ga,35.0,150,0.0090000629425,0
mimic,35.0,150,0.113000154495,0
rhc,6.0,180,0.000999927520752,0
sa,1.0,180,0.0,0
ga,35.0,180,0.0159997940063,0
mimic,35.0,180,0.100000143051,0
rhc,4.0,200,0.0,0
sa,5.0,200,0.000999927520752,0
ga,35.0,200,0.0150001049042,0
mimic,35.0,200,0.167999982834,0
rhc,14.0,230,0.0,0
sa,2.0,230,0.00100016593933,0
ga,35.0,230,0.0169999599457,0
mimic,35.0,230,0.105000019073,0
rhc,9.0,250,0.0,0
sa,3.0,250,0.000999927520752,0
ga,35.0,250,0.0139999389648,0
mimic,20.0,250,0.115000009537,0
rhc,13.0,270,0.000999927520752,0
sa,1.0,270,0.0,0
ga,35.0,270,0.0120000839233,0
mimic,35.0,270,0.178999900818,0
rhc,20.0,300,0.00100016593933,0
sa,0.0,300,0.000999927520752,0
ga,35.0,300,0.0150001049042,0
mimic,35.0,300,0.137000083923,0
rhc,20.0,330,0.0,0
sa,1.0,330,0.0,0
ga,35.0,330,0.0170001983643,0
mimic,20.0,330,0.175999879837,0
rhc,14.0,350,0.0,0
sa,2.0,350,0.000999927520752,0
ga,35.0,350,0.0150001049042,0
mimic,35.0,350,0.249000072479,0
rhc,9.0,370,0.000999927520752,0
sa,2.0,370,0.000999927520752,0
ga,35.0,370,0.0400002002716,0
mimic,35.0,370,0.197000026703,0
rhc,20.0,400,0.000999927520752,0
sa,1.0,400,0.00100016593933,0
ga,35.0,400,0.0220000743866,0
mimic,35.0,400,0.207000017166,0
rhc,20.0,430,0.000999927520752,0
sa,1.0,430,0.000999927520752,0
ga,35.0,430,0.0209999084473,0
mimic,20.0,430,0.232000112534,0
rhc,20.0,450,0.0,0
sa,1.0,450,0.000999927520752,0
ga,35.0,450,0.0260000228882,0
mimic,35.0,450,0.291000127792,0
rhc,35.0,470,0.000999927520752,0
sa,3.0,470,0.0,0
ga,35.0,470,0.0230000019073,0
mimic,35.0,470,0.246999979019,0
rhc,20.0,500,0.0,0
sa,1.0,500,0.000999927520752,0
ga,35.0,500,0.0270001888275,0
mimic,35.0,500,0.240999937057,0
rhc,6.0,10,0.0,1
sa,1.0,10,0.0,1
ga,27.0,10,0.00100016593933,1
mimic,32.0,10,0.00699996948242,1
rhc,3.0,30,0.0,1
sa,2.0,30,0.000999927520752,1
ga,30.0,30,0.00200009346008,1
mimic,29.0,30,0.0179998874664,1
rhc,13.0,50,0.0,1
sa,1.0,50,0.0,1
ga,35.0,50,0.00300002098083,1
mimic,35.0,50,0.0299999713898,1
rhc,5.0,70,0.0,1
sa,0.0,70,0.0,1
ga,35.0,70,0.00399994850159,1
mimic,35.0,70,0.0320000648499,1
rhc,9.0,100,0.000999927520752,1
sa,3.0,100,0.0,1
ga,35.0,100,0.00499987602234,1
mimic,35.0,100,0.0859999656677,1
rhc,7.0,150,0.0,1
sa,0.0,150,0.000999927520752,1
ga,35.0,150,0.0230000019073,1
mimic,35.0,150,0.0990002155304,1
rhc,8.0,180,0.0,1
sa,1.0,180,0.0,1
ga,35.0,180,0.0090000629425,1
mimic,35.0,180,0.0869998931885,1
rhc,35.0,200,0.0,1
sa,3.0,200,0.0,1
ga,35.0,200,0.010999917984,1
mimic,35.0,200,0.105999946594,1
rhc,16.0,230,0.00100016593933,1
sa,1.0,230,0.0,1
ga,34.0,230,0.0130000114441,1
mimic,35.0,230,0.116999864578,1
rhc,9.0,250,0.00100016593933,1
sa,2.0,250,0.0,1
ga,34.0,250,0.0139999389648,1
mimic,35.0,250,0.131999969482,1
rhc,12.0,270,0.0,1
sa,1.0,270,0.0,1
ga,35.0,270,0.0169999599457,1
mimic,35.0,270,0.130000114441,1
rhc,17.0,300,0.000999927520752,1
sa,3.0,300,0.0,1
ga,35.0,300,0.0139999389648,1
mimic,35.0,300,0.151000022888,1
rhc,13.0,330,0.000999927520752,1
sa,0.0,330,0.0,1
ga,34.0,330,0.0169999599457,1
mimic,35.0,330,0.22000002861,1
rhc,35.0,350,0.0,1
sa,1.0,350,0.000999927520752,1
ga,35.0,350,0.0160000324249,1
mimic,35.0,350,0.155999898911,1
rhc,11.0,370,0.0,1
sa,5.0,370,0.0,1
ga,35.0,370,0.0169999599457,1
mimic,35.0,370,0.167999982834,1
rhc,10.0,400,0.0,1
sa,1.0,400,0.0,1
ga,35.0,400,0.0179998874664,1
mimic,35.0,400,0.200000047684,1
rhc,12.0,430,0.0,1
sa,1.0,430,0.0,1
ga,35.0,430,0.0280001163483,1
mimic,35.0,430,0.1890001297,1
rhc,20.0,450,0.0,1
sa,1.0,450,0.0,1
ga,35.0,450,0.0200002193451,1
mimic,35.0,450,0.261999845505,1
rhc,20.0,470,0.0,1
sa,3.0,470,0.0,1
ga,35.0,470,0.0220000743866,1
mimic,35.0,470,0.21799993515,1
rhc,20.0,500,0.0,1
sa,2.0,500,0.0,1
ga,35.0,500,0.0220000743866,1
mimic,35.0,500,0.218999862671,1
rhc,1.0,10,0.0,2
sa,0.0,10,0.0,2
ga,31.0,10,0.0,2
mimic,33.0,10,0.00699996948242,2
rhc,2.0,30,0.00100016593933,2
sa,10.0,30,0.0,2
ga,30.0,30,0.0019998550415,2
mimic,35.0,30,0.0169999599457,2
rhc,2.0,50,0.0,2
sa,1.0,50,0.000999927520752,2
ga,35.0,50,0.00699996948242,2
mimic,35.0,50,0.0269999504089,2
rhc,3.0,70,0.000999927520752,2
sa,2.0,70,0.0,2
ga,33.0,70,0.00600004196167,2
mimic,35.0,70,0.0350000858307,2
rhc,8.0,100,0.0,2
sa,4.0,100,0.0,2
ga,34.0,100,0.00500011444092,2
mimic,33.0,100,0.0450000762939,2
rhc,11.0,150,0.0,2
sa,1.0,150,0.0,2
ga,35.0,150,0.00699996948242,2
mimic,33.0,150,0.0729999542236,2
rhc,11.0,180,0.0,2
sa,1.0,180,0.0,2
ga,35.0,180,0.00999999046326,2
mimic,20.0,180,0.0799999237061,2
rhc,12.0,200,0.000999927520752,2
sa,1.0,200,0.0,2
ga,35.0,200,0.00999999046326,2
mimic,35.0,200,0.0869998931885,2
rhc,16.0,230,0.0,2
sa,1.0,230,0.0,2
ga,34.0,230,0.0120000839233,2
mimic,35.0,230,0.171999931335,2
rhc,15.0,250,0.0,2
sa,1.0,250,0.0,2
ga,35.0,250,0.0120000839233,2
mimic,35.0,250,0.15499997139,2
rhc,4.0,270,0.0,2
sa,2.0,270,0.0,2
ga,35.0,270,0.0130000114441,2
mimic,35.0,270,0.167000055313,2
rhc,20.0,300,0.0,2
sa,1.0,300,0.0,2
ga,35.0,300,0.0150001049042,2
mimic,34.0,300,0.141999959946,2
rhc,11.0,330,0.0,2
sa,5.0,330,0.0,2
ga,34.0,330,0.0169999599457,2
mimic,35.0,330,0.168999910355,2
rhc,20.0,350,0.0,2
sa,0.0,350,0.0,2
ga,35.0,350,0.0199999809265,2
mimic,35.0,350,0.164999961853,2
rhc,14.0,370,0.0,2
sa,2.0,370,0.0,2
ga,35.0,370,0.0190000534058,2
mimic,35.0,370,0.179999828339,2
rhc,13.0,400,0.0,2
sa,1.0,400,0.0,2
ga,35.0,400,0.0210001468658,2
mimic,35.0,400,0.182999849319,2
rhc,20.0,430,0.0,2
sa,1.0,430,0.0,2
ga,35.0,430,0.0220000743866,2
mimic,35.0,430,0.272000074387,2
rhc,20.0,450,0.0,2
sa,1.0,450,0.0,2
ga,35.0,450,0.0230000019073,2
mimic,35.0,450,0.205000162125,2
rhc,20.0,470,0.0,2
sa,2.0,470,0.0,2
ga,35.0,470,0.0230000019073,2
mimic,35.0,470,0.21799993515,2
rhc,20.0,500,0.0,2
sa,5.0,500,0.000999927520752,2
ga,35.0,500,0.0269999504089,2
mimic,35.0,500,0.239000082016,2
rhc,0.0,10,0.0,3
sa,0.0,10,0.0,3
ga,30.0,10,0.000999927520752,3
mimic,29.0,10,0.00699996948242,3
rhc,5.0,30,0.0,3
sa,1.0,30,0.00100016593933,3
ga,28.0,30,0.000999927520752,3
mimic,35.0,30,0.0139999389648,3
rhc,5.0,50,0.0,3
sa,3.0,50,0.0,3
ga,33.0,50,0.00200009346008,3
mimic,29.0,50,0.0249998569489,3
rhc,6.0,70,0.00100016593933,3
sa,1.0,70,0.0,3
ga,33.0,70,0.00299978256226,3
mimic,32.0,70,0.0369999408722,3
rhc,4.0,100,0.0,3
sa,0.0,100,0.0,3
ga,32.0,100,0.00599980354309,3
mimic,34.0,100,0.0490000247955,3
rhc,16.0,150,0.0,3
sa,0.0,150,0.0,3
ga,35.0,150,0.00699996948242,3
mimic,35.0,150,0.0880000591278,3
rhc,16.0,180,0.0,3
sa,1.0,180,0.0,3
ga,35.0,180,0.0090000629425,3
mimic,20.0,180,0.0839998722076,3
rhc,17.0,200,0.0,3
sa,2.0,200,0.0,3
ga,35.0,200,0.00999999046326,3
mimic,35.0,200,0.0869998931885,3
rhc,7.0,230,0.0,3
sa,3.0,230,0.0,3
ga,35.0,230,0.010999917984,3
mimic,35.0,230,0.172999858856,3
rhc,14.0,250,0.0,3
sa,0.0,250,0.0,3
ga,35.0,250,0.0120000839233,3
mimic,35.0,250,0.131000041962,3
rhc,35.0,270,0.000999927520752,3
sa,1.0,270,0.0,3
ga,35.0,270,0.0139999389648,3
mimic,35.0,270,0.135000228882,3
rhc,35.0,300,0.0,3
sa,0.0,300,0.0,3
ga,35.0,300,0.018000125885,3
mimic,35.0,300,0.161999940872,3
rhc,20.0,330,0.0,3
sa,4.0,330,0.0,3
ga,35.0,330,0.0150001049042,3
mimic,35.0,330,0.15499997139,3
rhc,35.0,350,0.0,3
sa,5.0,350,0.0,3
ga,35.0,350,0.0190000534058,3
mimic,35.0,350,0.158999919891,3
rhc,19.0,370,0.0,3
sa,1.0,370,0.000999927520752,3
ga,35.0,370,0.0169999599457,3
mimic,35.0,370,0.163999795914,3
rhc,17.0,400,0.0,3
sa,4.0,400,0.0,3
ga,35.0,400,0.018000125885,3
mimic,35.0,400,0.182999849319,3
rhc,15.0,430,0.0,3
sa,0.0,430,0.0,3
ga,35.0,430,0.0209999084473,3
mimic,35.0,430,0.236999988556,3
rhc,20.0,450,0.0,3
sa,0.0,450,0.0,3
ga,35.0,450,0.0210001468658,3
mimic,35.0,450,0.215000152588,3
rhc,20.0,470,0.0,3
sa,0.0,470,0.0,3
ga,35.0,470,0.0230000019073,3
mimic,35.0,470,0.223999977112,3
rhc,20.0,500,0.0,3
sa,2.0,500,0.0,3
ga,35.0,500,0.0260000228882,3
mimic,35.0,500,0.259000062943,3
rhc,7.0,10,0.0,4
sa,1.0,10,0.0,4
ga,35.0,10,0.000999927520752,4
mimic,35.0,10,0.00600004196167,4
rhc,3.0,30,0.0,4
sa,2.0,30,0.0,4
ga,35.0,30,0.0019998550415,4
mimic,34.0,30,0.0160000324249,4
rhc,7.0,50,0.0,4
sa,3.0,50,0.0,4
ga,34.0,50,0.00300002098083,4
mimic,35.0,50,0.0269999504089,4
rhc,11.0,70,0.0,4
sa,1.0,70,0.0,4
ga,35.0,70,0.00300002098083,4
mimic,33.0,70,0.0360000133514,4
rhc,8.0,100,0.0,4
sa,2.0,100,0.0,4
ga,35.0,100,0.00599980354309,4
mimic,34.0,100,0.0730001926422,4
rhc,12.0,150,0.000999927520752,4
sa,3.0,150,0.0,4
ga,35.0,150,0.0100002288818,4
mimic,35.0,150,0.0939998626709,4
rhc,17.0,180,0.0,4
sa,1.0,180,0.000999927520752,4
ga,35.0,180,0.0130000114441,4
mimic,35.0,180,0.110000133514,4
rhc,15.0,200,0.0,4
sa,1.0,200,0.0,4
ga,35.0,200,0.0150001049042,4
mimic,35.0,200,0.128000020981,4
rhc,19.0,230,0.000999927520752,4
sa,1.0,230,0.0,4
ga,35.0,230,0.0150001049042,4
mimic,35.0,230,0.21799993515,4
rhc,31.0,250,0.0,4
sa,1.0,250,0.0,4
ga,35.0,250,0.0289998054504,4
mimic,34.0,250,0.217000007629,4
rhc,29.0,270,0.0,4
sa,1.0,270,0.0,4
ga,35.0,270,0.0150001049042,4
mimic,35.0,270,0.153000116348,4
rhc,20.0,300,0.0,4
sa,2.0,300,0.0,4
ga,35.0,300,0.0150001049042,4
mimic,35.0,300,0.206999778748,4
rhc,19.0,330,0.0,4
sa,2.0,330,0.0,4
ga,35.0,330,0.0299999713898,4
mimic,35.0,330,0.380000114441,4
rhc,16.0,350,0.0,4
sa,3.0,350,0.0,4
ga,35.0,350,0.0190000534058,4
mimic,35.0,350,0.292999982834,4
rhc,20.0,370,0.0,4
sa,1.0,370,0.0,4
ga,35.0,370,0.0239999294281,4
mimic,35.0,370,0.322999954224,4
rhc,20.0,400,0.0,4
sa,1.0,400,0.00100016593933,4
ga,35.0,400,0.0269999504089,4
mimic,35.0,400,0.360999822617,4
rhc,19.0,430,0.0,4
sa,0.0,430,0.0,4
ga,35.0,430,0.0320000648499,4
mimic,35.0,430,0.3140001297,4
rhc,20.0,450,0.0,4
sa,0.0,450,0.000999927520752,4
ga,35.0,450,0.029000043869,4
mimic,35.0,450,0.313999891281,4
rhc,14.0,470,0.000999927520752,4
sa,2.0,470,0.0,4
ga,35.0,470,0.029000043869,4
mimic,35.0,470,0.296000003815,4
rhc,20.0,500,0.000999927520752,4
sa,2.0,500,0.0,4
ga,35.0,500,0.0279998779297,4
mimic,19.0,500,0.288000106812,4
rhc,6.0,10,0.0,5
sa,0.0,10,0.0,5
ga,32.0,10,0.000999927520752,5
mimic,13.0,10,0.0090000629425,5
rhc,5.0,30,0.0,5
sa,2.0,30,0.0,5
