algorithm,optimal_result,iterations,time,trial
rhc,2.0,10,0.00500011444092,0
sa,2.0,10,0.000999927520752,0
ga,11.0,10,0.0190000534058,0
mimic,14.0,10,0.615000009537,0
rhc,1.0,100,0.00100016593933,0
sa,3.0,100,0.000999927520752,0
ga,11.0,100,0.0390000343323,0
mimic,27.0,100,1.75,0
rhc,4.0,300,0.0,0
sa,4.0,300,0.0,0
ga,12.0,300,0.0329999923706,0
mimic,46.0,300,4.74800014496,0
rhc,12.0,500,0.000999927520752,0
sa,0.0,500,0.000999927520752,0
ga,20.0,500,0.058000087738,0
mimic,57.0,500,8.11500000954,0
rhc,3.0,1000,0.000999927520752,0
sa,3.0,1000,0.00100016593933,0
ga,28.0,1000,0.111999988556,0
mimic,73.0,1000,18.628000021,0
rhc,3.0,1500,0.000999927520752,0
sa,11.0,1500,0.000999927520752,0
ga,30.0,1500,0.237999916077,0
mimic,91.0,1500,36.2509999275,0
rhc,18.0,2000,0.00500011444092,0
sa,10.0,2000,0.00200009346008,0
ga,23.0,2000,0.250999927521,0
mimic,116.0,2000,43.2660000324,0
rhc,26.0,2500,0.000999927520752,0
sa,12.0,2500,0.000999927520752,0
ga,48.0,2500,0.365999937057,0
mimic,133.0,2500,52.2960000038,0
rhc,10.0,3000,0.000999927520752,0
sa,11.0,3000,0.00300002098083,0
ga,31.0,3000,0.403000116348,0
mimic,155.0,3000,60.9389998913,0
rhc,14.0,3500,0.00200009346008,0
sa,8.0,3500,0.00200009346008,0
ga,25.0,3500,0.468999862671,0
mimic,127.0,3500,69.4509999752,0
rhc,16.0,4000,0.000999927520752,0
sa,16.0,4000,0.00200009346008,0
ga,30.0,4000,0.512000083923,0
mimic,176.0,4000,81.9100000858,0
rhc,22.0,4500,0.000999927520752,0
sa,17.0,4500,0.00200009346008,0
ga,32.0,4500,0.587999820709,0
mimic,185.0,4500,96.868999958,0
rhc,42.0,5000,0.000999927520752,0
sa,21.0,5000,0.0019998550415,0
ga,53.0,5000,0.666000127792,0
mimic,187.0,5000,100.965000153,0
rhc,4.0,10,0.0,1
sa,6.0,10,0.0,1
ga,9.0,10,0.00300002098083,1
mimic,20.0,10,0.354000091553,1
rhc,3.0,100,0.0,1
sa,1.0,100,0.00100016593933,1
ga,10.0,100,0.0119998455048,1
mimic,16.0,100,2.50699996948,1
rhc,3.0,300,0.0019998550415,1
sa,1.0,300,0.00100016593933,1
ga,15.0,300,0.0490000247955,1
mimic,24.0,300,6.94099998474,1
rhc,6.0,500,0.0,1
sa,5.0,500,0.000999927520752,1
ga,10.0,500,0.0739998817444,1
mimic,37.0,500,11.9130001068,1
rhc,6.0,1000,0.0,1
sa,7.0,1000,0.00100016593933,1
ga,18.0,1000,0.134999990463,1
mimic,79.0,1000,21.0390000343,1
rhc,17.0,1500,0.00100016593933,1
sa,12.0,1500,0.0,1
ga,18.0,1500,0.205000162125,1
mimic,89.0,1500,31.9590001106,1
rhc,21.0,2000,0.00100016593933,1
sa,9.0,2000,0.000999927520752,1
ga,31.0,2000,0.298000097275,1
mimic,135.0,2000,39.881000042,1
rhc,26.0,2500,0.000999927520752,1
sa,12.0,2500,0.000999927520752,1
ga,26.0,2500,0.3140001297,1
mimic,120.0,2500,53.4990000725,1
rhc,9.0,3000,0.00100016593933,1
sa,26.0,3000,0.0019998550415,1
ga,30.0,3000,0.413000106812,1
mimic,148.0,3000,59.7550001144,1
rhc,21.0,3500,0.0,1
sa,7.0,3500,0.00100016593933,1
ga,31.0,3500,0.500999927521,1
mimic,172.0,3500,63.9089999199,1
rhc,18.0,4000,0.000999927520752,1
sa,22.0,4000,0.00100016593933,1
ga,41.0,4000,0.487999916077,1
mimic,176.0,4000,71.1319999695,1
rhc,22.0,4500,0.000999927520752,1
sa,33.0,4500,0.00200009346008,1
ga,37.0,4500,0.59099984169,1
mimic,194.0,4500,77.5659999847,1
rhc,18.0,5000,0.000999927520752,1
sa,24.0,5000,0.0019998550415,1
ga,30.0,5000,0.582000017166,1
mimic,187.0,5000,87.629999876,1
rhc,0.0,10,0.0,2
sa,1.0,10,0.0,2
ga,13.0,10,0.000999927520752,2
mimic,17.0,10,0.341000080109,2
rhc,2.0,100,0.000999927520752,2
sa,7.0,100,0.0,2
ga,12.0,100,0.0119998455048,2
mimic,19.0,100,2.16100001335,2
rhc,2.0,300,0.0,2
sa,3.0,300,0.000999927520752,2
ga,19.0,300,0.0360000133514,2
mimic,47.0,300,5.69400000572,2
rhc,5.0,500,0.0,2
sa,3.0,500,0.00100016593933,2
ga,15.0,500,0.0599999427795,2
mimic,44.0,500,9.632999897,2
rhc,4.0,1000,0.00100016593933,2
sa,7.0,1000,0.0,2
ga,29.0,1000,0.111999988556,2
mimic,75.0,1000,17.2109999657,2
rhc,6.0,1500,0.00100016593933,2
sa,4.0,1500,0.0,2
ga,26.0,1500,0.154000043869,2
mimic,102.0,1500,26.0719997883,2
rhc,24.0,2000,0.0019998550415,2
sa,16.0,2000,0.00100016593933,2
ga,25.0,2000,0.234999895096,2
mimic,84.0,2000,38.888999939,2
rhc,20.0,2500,0.0019998550415,2
sa,14.0,2500,0.00100016593933,2
ga,36.0,2500,0.299999952316,2
mimic,119.0,2500,44.4030001163,2
rhc,16.0,3000,0.000999927520752,2
sa,12.0,3000,0.00100016593933,2
ga,17.0,3000,0.344999790192,2
mimic,141.0,3000,50.1679999828,2
rhc,24.0,3500,0.000999927520752,2
sa,17.0,3500,0.0019998550415,2
ga,25.0,3500,0.371000051498,2
mimic,150.0,3500,66.9350001812,2
rhc,21.0,4000,0.000999927520752,2
sa,27.0,4000,0.00100016593933,2
ga,30.0,4000,0.507999897003,2
mimic,169.0,4000,62.1669998169,2
rhc,22.0,4500,0.0019998550415,2
sa,15.0,4500,0.0019998550415,2
ga,35.0,4500,0.496999979019,2
mimic,193.0,4500,64.6529998779,2
rhc,31.0,5000,0.00100016593933,2
sa,33.0,5000,0.00200009346008,2
ga,33.0,5000,0.539000034332,2
mimic,179.0,5000,77.3919999599,2
rhc,2.0,10,0.0,3
sa,1.0,10,0.0,3
ga,8.0,10,0.00200009346008,3
mimic,23.0,10,0.302000045776,3
rhc,3.0,100,0.0,3
sa,3.0,100,0.0,3
ga,9.0,100,0.0139999389648,3
mimic,29.0,100,1.83699989319,3
rhc,4.0,300,0.0,3
sa,3.0,300,0.0,3
ga,15.0,300,0.0329999923706,3
mimic,40.0,300,5.24399995804,3
rhc,3.0,500,0.0,3
sa,4.0,500,0.0,3
ga,19.0,500,0.0499999523163,3
mimic,39.0,500,8.36200022697,3
rhc,3.0,1000,0.0,3
sa,4.0,1000,0.0,3
ga,19.0,1000,0.117000102997,3
mimic,69.0,1000,16.0410001278,3
rhc,8.0,1500,0.000999927520752,3
sa,23.0,1500,0.0,3
ga,24.0,1500,0.151000022888,3
mimic,125.0,1500,23.1629998684,3
rhc,14.0,2000,0.00100016593933,3
sa,12.0,2000,0.0,3
ga,17.0,2000,0.199000120163,3
mimic,122.0,2000,31.754999876,3
rhc,15.0,2500,0.00100016593933,3
sa,7.0,2500,0.00100016593933,3
ga,50.0,2500,0.253999948502,3
mimic,150.0,2500,38.0759999752,3
rhc,23.0,3000,0.0,3
sa,19.0,3000,0.000999927520752,3
ga,43.0,3000,0.309000015259,3
mimic,161.0,3000,43.4509999752,3
rhc,29.0,3500,0.00200009346008,3
sa,14.0,3500,0.000999927520752,3
ga,42.0,3500,0.34500002861,3
mimic,164.0,3500,50.4900000095,3
rhc,29.0,4000,0.000999927520752,3
sa,13.0,4000,0.00200009346008,3
ga,29.0,4000,0.394000053406,3
mimic,188.0,4000,56.3510000706,3
rhc,16.0,4500,0.000999927520752,3
sa,15.0,4500,0.0019998550415,3
ga,43.0,4500,0.44000005722,3
mimic,184.0,4500,61.5740001202,3
rhc,29.0,5000,0.000999927520752,3
sa,24.0,5000,0.000999927520752,3
ga,30.0,5000,0.47200012207,3
mimic,177.0,5000,67.5569999218,3
rhc,0.0,10,0.0,4
sa,1.0,10,0.0,4
