algorithm,optimal_result,iterations,time,trial
rhc,1478.04422584,10,0.00600004196167,0
sa,1173.72179098,10,0.00100016593933,0
ga,1700.31923345,10,0.00999999046326,0
mimic,2132.15817383,10,0.0620000362396,0
rhc,1620.7506018,30,0.000999927520752,0
sa,1292.71012146,30,0.000999927520752,0
ga,1983.24475889,30,0.00699996948242,0
mimic,2145.29709817,30,0.0680000782013,0
rhc,1923.25657007,50,0.00100016593933,0
sa,1616.08989071,50,0.0,0
ga,2095.59565077,50,0.0090000629425,0
mimic,2127.00858852,50,0.0759999752045,0
rhc,1997.22217493,70,0.000999927520752,0
sa,1852.75956314,70,0.0,0
ga,2097.18551153,70,0.0149998664856,0
mimic,2144.24810578,70,0.105999946594,0
rhc,2090.39144927,100,0.000999927520752,0
sa,2041.3749609,100,0.0,0
ga,2097.52804618,100,0.0130000114441,0
mimic,2158.28555721,100,0.0910000801086,0
rhc,2108.91362125,150,0.000999927520752,0
sa,2142.12624215,150,0.0,0
ga,2141.35833655,150,0.0139999389648,0
mimic,2154.89688625,150,0.157999992371,0
rhc,2121.94850338,180,0.000999927520752,0
sa,1996.14896552,180,0.0,0
ga,2164.62361841,180,0.0209999084473,0
mimic,2182.0008031,180,0.178999900818,0
rhc,2009.16920086,200,0.0,0
sa,2069.77712409,200,0.0,0
ga,2145.81776263,200,0.0190000534058,0
mimic,2152.65179373,200,0.15700006485,0
rhc,1906.35264463,230,0.000999927520752,0
sa,2206.24413655,230,0.0,0
ga,2142.9323498,230,0.0190000534058,0
mimic,2117.42754792,230,0.167000055313,0
rhc,2048.91273748,250,0.0,0
sa,2054.45900039,250,0.0,0
ga,2135.45535224,250,0.0309998989105,0
mimic,2167.74481259,250,0.193000078201,0
rhc,2086.92928858,270,0.000999927520752,0
sa,2161.73052001,270,0.0,0
ga,2174.55662527,270,0.021999835968,0
mimic,2125.93053094,270,0.172999858856,0
rhc,2033.34719306,300,0.0,0
sa,1997.37117517,300,0.000999927520752,0
ga,2174.46428837,300,0.0230000019073,0
mimic,2203.18418939,300,0.231000185013,0
rhc,2011.19841568,330,0.0,0
sa,2105.0289347,330,0.000999927520752,0
ga,2154.25559487,330,0.0409998893738,0
mimic,2163.32609665,330,0.223999977112,0
rhc,2095.7655643,350,0.0,0
sa,2149.841582,350,0.0,0
ga,2161.34149993,350,0.0269999504089,0
mimic,2111.53259513,350,0.243999958038,0
rhc,2104.15355387,370,0.0,0
sa,2075.00844376,370,0.000999927520752,0
ga,2115.64253173,370,0.0460000038147,0
mimic,2186.36125863,370,0.310000181198,0
rhc,2098.89559896,400,0.000999927520752,0
sa,2085.04711837,400,0.00200009346008,0
ga,2165.29049245,400,0.0360000133514,0
mimic,2153.68471035,400,0.259000062943,0
rhc,2116.90994747,430,0.0,0
sa,2089.79861168,430,0.0,0
ga,2181.75471804,430,0.0329999923706,0
