algorithm,optimal_result,iterations,time,trial
rhc,1860.36663413,10,0.00699996948242,0
sa,2016.06412672,10,0.00100016593933,0
ga,2700.67465126,10,0.0169999599457,0
mimic,3145.70014334,10,0.161000013351,0
rhc,2523.54779977,30,0.000999927520752,0
sa,2325.55706425,30,0.00100016593933,0
ga,2792.58359098,30,0.0119998455048,0
mimic,3318.63255927,30,0.197000026703,0
rhc,2426.60247395,50,0.00100016593933,0
sa,2671.69289387,50,0.0,0
ga,2887.74732543,50,0.0189998149872,0
mimic,3287.06680492,50,0.287999868393,0
rhc,2667.06189705,70,0.00100016593933,0
sa,2366.62519413,70,0.000999927520752,0
ga,2843.37280686,70,0.0149998664856,0
mimic,3287.47536455,70,0.376000165939,0
rhc,2646.09827133,100,0.000999927520752,0
sa,2919.19585733,100,0.00100016593933,0
ga,3080.90771164,100,0.0210001468658,0
mimic,3310.93962122,100,0.476000070572,0
rhc,2406.460919,150,0.00100016593933,0
sa,2681.60958254,150,0.000999927520752,0
ga,2997.51703086,150,0.0379998683929,0
mimic,3313.98108753,150,0.455999851227,0
rhc,2856.67314601,180,0.0,0
sa,2704.14508161,180,0.0,0
ga,3089.67398782,180,0.0260000228882,0
mimic,3318.35433782,180,0.601000070572,0
rhc,2834.9463431,200,0.0,0
sa,2867.98679388,200,0.0,0
ga,3124.64122973,200,0.0280001163483,0
mimic,3278.43476683,200,0.516000032425,0
rhc,2732.7488363,230,0.000999927520752,0
sa,2658.55297869,230,0.0,0
ga,3131.78942515,230,0.0540001392365,0
mimic,3204.86026105,230,0.921999931335,0
rhc,2924.67671209,250,0.000999927520752,0
sa,2753.74169225,250,0.0,0
ga,3129.1340345,250,0.0379998683929,0
mimic,3349.87891821,250,0.803999900818,0
rhc,2767.25330583,270,0.000999927520752,0
sa,3002.69476501,270,0.0,0
ga,3166.28974844,270,0.0639998912811,0
mimic,3245.78840065,270,0.771000146866,0
rhc,2491.23471088,300,0.000999927520752,0
sa,2726.4896909,300,0.0,0
ga,3116.20709053,300,0.0450000762939,0
mimic,3277.2103053,300,0.789999961853,0
rhc,2768.61445257,330,0.0,0
sa,2785.90969271,330,0.00100016593933,0
ga,3180.17329576,330,0.0479998588562,0
mimic,3301.55108835,330,0.848999977112,0
rhc,2787.16469084,350,0.0,0
sa,2632.43442359,350,0.000999927520752,0
ga,3170.23637365,350,0.0550000667572,0
mimic,3246.64658124,350,0.957999944687,0
rhc,2559.96837173,370,0.0,0
sa,2670.86636151,370,0.0,0
ga,3046.44923754,370,0.0540001392365,0
mimic,3295.60595811,370,0.957000017166,0
rhc,2719.57162809,400,0.000999927520752,0
sa,2810.61884758,400,0.00200009346008,0
ga,3169.74535311,400,0.0680000782013,0
mimic,3231.62550761,400,1.10399985313,0
rhc,2629.2720081,430,0.0,0
sa,2836.27266706,430,0.00100016593933,0
ga,3109.77702464,430,0.0720000267029,0
mimic,3319.17555256,430,1.57800006866,0
rhc,2675.93331587,450,0.0,0
sa,2850.88364133,450,0.0,0
ga,3292.79166316,450,0.0930001735687,0
mimic,3267.30615896,450,1.8259999752,0
rhc,2656.0217512,470,0.0,0
sa,2756.6318593,470,0.0,0
ga,3226.55489107,470,0.0819997787476,0
mimic,3256.87241755,470,1.45600008965,0
rhc,2785.11922034,500,0.0,0
sa,2771.20117123,500,0.0,0
ga,3008.47952709,500,0.0759999752045,0
mimic,3288.44291535,500,1.54399991035,0
rhc,1800.68696831,10,0.000999927520752,1
sa,1787.07644104,10,0.0,1
ga,2688.35304634,10,0.0019998550415,1
mimic,3172.72072654,10,0.0480000972748,1
rhc,1911.65475027,30,0.0,1
sa,2131.39407264,30,0.00100016593933,1
ga,2840.07401798,30,0.00499987602234,1
mimic,3287.12176534,30,0.103000164032,1
rhc,2159.97852776,50,0.0,1
sa,2240.80254825,50,0.0,1
ga,2923.25698881,50,0.00800013542175,1
mimic,3284.7507443,50,0.1859998703,1
rhc,2560.08003811,70,0.0,1
sa,2657.8859764,70,0.000999927520752,1
ga,3057.46604023,70,0.00999999046326,1
mimic,3335.51353296,70,0.210999965668,1
rhc,2937.66402283,100,0.0,1
sa,2762.3129405,100,0.0,1
ga,3045.23632771,100,0.0169999599457,1
mimic,3226.41756178,100,0.351000070572,1
rhc,2554.0644226,150,0.0,1
sa,2831.84931962,150,0.000999927520752,1
ga,3146.27761768,150,0.0230000019073,1
mimic,3255.75622452,150,0.441999912262,1
rhc,2722.29454022,180,0.0,1
sa,2700.60879308,180,0.000999927520752,1
ga,2939.87274078,180,0.0280001163483,1
mimic,3284.92292761,180,0.533999919891,1
rhc,2658.81732363,200,0.0,1
sa,2689.7318355,200,0.0,1
ga,3073.81002912,200,0.0319998264313,1
mimic,3277.24173642,200,0.610000133514,1
rhc,2391.95693334,230,0.0,1
sa,2725.57745384,230,0.0,1
ga,3229.62261039,230,0.0350000858307,1
mimic,3322.21192776,230,0.699000120163,1
rhc,2507.98575159,250,0.0,1
sa,2785.3020521,250,0.0,1
ga,3050.18628775,250,0.0410001277924,1
mimic,3271.66367223,250,0.71799993515,1
rhc,2719.02346566,270,0.0,1
sa,2710.9991576,270,0.0,1
ga,3086.73515055,270,0.0410001277924,1
mimic,3296.18980499,270,0.796999931335,1
rhc,3046.78508878,300,0.0,1
sa,2851.22482722,300,0.0,1
ga,3191.55292793,300,0.0450000762939,1
mimic,3318.72412045,300,0.894000053406,1
rhc,2416.78594928,330,0.000999927520752,1
sa,2935.22341058,330,0.0,1
ga,3141.56580583,330,0.0500001907349,1
mimic,3243.48106379,330,0.940999984741,1
rhc,2569.5241729,350,0.0,1
sa,3027.51477237,350,0.00100016593933,1
ga,3132.38839237,350,0.0579998493195,1
mimic,3293.11222514,350,0.985000133514,1
rhc,2574.57873884,370,0.0,1
sa,2774.67906299,370,0.0,1
ga,3186.16931555,370,0.0610001087189,1
