algorithm,optimal_result,iterations,time,trial
rhc,4.0,10,0.00400018692017,0
sa,8.0,10,0.000999927520752,0
ga,74.0,10,0.0130000114441,0
mimic,86.0,10,0.0889999866486,0
rhc,79.0,1000,0.000999927520752,0
sa,85.0,1000,0.00100016593933,0
ga,91.0,1000,0.117000102997,0
mimic,113.0,1000,1.89099979401,0
rhc,60.0,5000,0.00200009346008,0
sa,113.0,5000,0.00300002098083,0
ga,98.0,5000,0.335999965668,0
mimic,113.0,5000,8.7460000515,0
rhc,60.0,200000,0.0320000648499,0
sa,113.0,200000,0.144000053406,0
ga,113.0,200000,12.5280001163,0
mimic,113.0,200000,338.843999863,0
rhc,6.0,10,0.0,1
sa,4.0,10,0.0,1
ga,73.0,10,0.000999927520752,1
mimic,78.0,10,0.0330002307892,1
rhc,30.0,1000,0.000999927520752,1
sa,73.0,1000,0.000999927520752,1
ga,83.0,1000,0.0729999542236,1
mimic,102.0,1000,1.77099990845,1
rhc,60.0,5000,0.00100016593933,1
sa,113.0,5000,0.00200009346008,1
ga,89.0,5000,0.322999954224,1
mimic,113.0,5000,8.99199986458,1
rhc,103.0,200000,0.0380001068115,1
sa,113.0,200000,0.142999887466,1
ga,113.0,200000,11.9750001431,1
